,Votes,UnemploymentRate2015,MedHHInc,PerCapitaInc,PovertyAllAgesPct,DeepPovAll,TotalAreaSqM,PopulationDensitySqM,TotalMaleRate,TotalFemaleRate,VoterTurnoutRate,Democrat,Population,County,State,DominantEducation,DominantReligion,Young,Adult,Old,DominantEthnicMale,DominantEthnicFemale,EstimatePopulation2015Normal,PopulationNormal,MedHHIncNormal,PerCapitaIncNormal,TotalAreaSqMNormal,PopulationDensitySqMNormal,Age
1823,10697,0.077,32964.0,18355.0,0.255,0.1492602421,4735.66,6.2,0.49190116899999997,0.508098831,0.00382486502,1,29393,047,35,college,Catholic,0.229198699,0.57675117,0.19405013100000015,White,White,-0.22858892696450275,-0.21984661885926654,-1.1722366920437495,-1.0009712298149462,0.921841324533131,-0.1483792747169043,Adult
1824,70376,0.054000000000000006,52628.0,32454.0,0.142,0.06873139686,1910.87,75.5,0.48620583,0.51379417,0.00473319613,1,144170,049,35,bachelor and higher,Catholic,0.21125728,0.579025598,0.2097171220000001,White,White,0.13589400482176323,0.14707187449148715,0.45328747333908204,1.471648910526618,0.18357493672307112,-0.10820754340258763,Adult
1825,5149,0.091,29036.0,18589.0,0.23800000000000002,0.07269719659,4236.22,2.9,0.49911363200000003,0.500886368,0.00456390711,0,11988,051,35,only high school,Catholic,0.174703067,0.481297642,0.343999291,White,White,-0.27896540222402155,-0.27548682880350506,-1.4969447332166421,-0.9599333467849495,0.7913113507199073,-0.15029221430330034,Adult
1826,6792,0.076,32285.0,17969.0,0.31,0.1062386716,6648.75,2.7,0.508866481,0.49113351899999996,0.00393602225,1,17866,053,35,only high school,Catholic,0.27219517899999995,0.553952248,0.1738525730000001,White,White,-0.2609282992452762,-0.2566960701679271,-1.2283662134175768,-1.0686661992575908,1.4218324898429586,-0.15040815003580918,Adult
1827,15103,0.09300000000000001,36125.0,22107.0,0.192,0.10392468519999999,2204.42,15.0,0.48776856,0.51223144,0.004589601,1,32937,055,35,college,Catholic,0.20336098600000002,0.557875223,0.23876379099999986,White,White,-0.2136737463962065,-0.2085171788108677,-0.9109326904787001,-0.3429620967869621,0.2602950108318166,-0.14327810248651487,Adult
1828,6286,0.09,37311.0,18278.0,0.276,0.1207102953,3345.73,4.9,0.5266386829999999,0.473361317,0.00405941233,0,16383,057,35,only high school,Catholic,0.232676785,0.569712624,0.19761059099999992,White,White,-0.26627542167168367,-0.2614369165538683,-0.812892024279349,-1.0144751485897743,0.5585794181936026,-0.14913285697821183,Adult
1829,1697,0.044000000000000004,36684.0,20511.0,0.19399999999999998,0.02227402227,3830.87,1.2,0.565817662,0.43418233799999995,0.0040395144,0,4549,059,35,only high school,Catholic,0.198524161,0.595810521,0.20566531799999993,White,White,-0.30034483412768664,-0.29926778380351604,-0.8647229666967126,-0.6228615041197614,0.6853720489315237,-0.15127766802962556,Adult
1830,27509,0.075,40591.0,19646.0,0.245,0.11383718740000001,1068.29,71.8,0.50287178,0.49712822,0.0036321745,0,76569,061,35,college,Catholic,0.26721417599999997,0.571847313,0.1609385110000001,White,White,-0.08435852701561379,-0.06903463699604345,-0.5417508901023919,-0.7745613708759465,-0.03663558973765697,-0.11035235445400136,Adult
1831,125644,0.044000000000000004,60371.0,32624.0,0.135,0.06246644365,533.3,581.9,0.48438333299999997,0.5156166670000001,0.00406114144,1,304204,001,36,bachelor and higher,Catholic,0.22743154799999998,0.6138386,0.15872985200000006,White,White,0.6210751670530111,0.6586677008756453,1.0933624129525517,1.5014627571723422,-0.17645665070661534,0.18534173130982154,Adult
1832,17111,0.057999999999999996,42655.0,20881.0,0.183,0.06869876457999999,1034.39,47.6,0.506657958,0.49334204200000004,0.00360519995,0,48946,003,36,only high school,Christian Generic,0.25770089799999996,0.561965363,0.1803337390000001,White,White,-0.1697283105315199,-0.15733969412271404,-0.3711303715227456,-0.5579725437731851,-0.04549544500008743,-0.12438057808757227,Adult
